Location,Lat,Lon,Group,Region,LocationName
Albury,-36.067,146.95,A,New South Wales,Albury
WaggaWagga,-35.158,147.457,A,New South Wales,Wagga Wagga
Moree,-29.4631,149.8454,B,New South Wales,Moree
NorahHead,-33.283,151.567,C,New South Wales,Norah Head
Sydney,-33.86,151.211,C,New South Wales,Sydney
SydneyAirport,-33.946,151.175,C,New South Wales,Sydney Airport
Richmond,-33.6,150.783,C,New South Wales,Richmond
Williamtown,-32.795,151.834,C,New South Wales,Williamtown
Canberra,-35.308,149.2,D,Australian Capital Territory,Canberra
Tuggeranong,-35.424,149.093,D,Australian Capital Territory,Tuggeranong
MountGinini,-35.529,148.772,D,New South Wales,Mount Ginini
Ballarat,-37.512,143.791,E,Victoria,Ballarat
Bendigo,-36.743,144.329,E,Victoria,Bendigo
MelbourneAirport,-37.665,144.832,E,Victoria,Melbourne Airport
Melbourne,-37.8136,144.9631,E,Victoria,Melbourne
Nhil,-36.3322,141.6503,F,Victoria,Nhil
Portland,-38.3144,141.4725,F,Victoria,Portland
Watsonia,-37.72,145.083,E,Victoria,Watsonia
Dartmoor,-37.9194,141.275,F,Victoria,Dartmoor
Brisbane,-27.469,153.025,G,Queensland,Brisbane
GoldCoast,-28.1667,153.55,G,Queensland,Gold Coast
Cairns,-16.8858,145.7453,H,Queensland,Cairns
Townsville,-19.2525,146.765,H,Queensland,Townsville
Adelaide,-34.948,138.52,I,South Australia,Adelaide
MountGambier,-37.745,140.794,F,South Australia,Mount Gambier
Nuriootpa,-34.466,138.991,I,South Australia,Nuriootpa
Woomera,-31.199,136.825,R,South Australia,Woomera
Albany,-35.025,117.865,J,Western Australia,Albany
Witchcliffe,-34.351,115.16,J,Western Australia,Witchcliffe
PearceRAAF,-31.667,116.017,K,Western Australia,Pearce RAAF
PerthAirport,-31.933,115.967,K,Western Australia,Perth Airport
Perth,-31.952,115.86,K,Western Australia,Perth
SalmonGums,-32.981,121.643,L,Western Australia,Salmon Gums
Walpole,-34.977,116.731,J,Western Australia,Walpole
Hobart,-42.836,147.51,M,Tasmania,Hobart
Launceston,-41.545,147.214,M,Tasmania,Launceston
AliceSprings,-23.795,133.889,N,Northern Territory,Alice Springs
Darwin,-12.425,130.893,O,Northern Territory,Darwin
Katherine,-14.521,132.378,O,Northern Territory,Katherine
Uluru,-25.344,131.036,N,Northern Territory,Uluru
BadgerysCreek,-33.877,150.751,C,New South Wales,Badgerys Creek
Cobar,-31.498,145.83,Q,New South Wales,Cobar
CoffsHarbour,-30.32,153.116,B,New South Wales,Coffs Harbour
Newcastle,-32.927,151.781,C,New South Wales,Newcastle
NorfolkIsland,-29.0323,167.95,P,External Territory,Norfolk Island
Penrith,-33.751,150.694,C,New South Wales,Penrith
Mildura,-34.2068859,142.1366852,S,Victoria,Mildura
Wollongong,-34.4248336,150.8931132,C,New South Wales,Wollongong
Sale,-38.1051139,147.0680482,T,Victoria,Sale
